make,model,year_from,year_to,image_url,priority,notes
Kia,EV9,2024,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Kia_EV9_MV1_Aurora_Black_Pearl_%285%29.jpg/960px-Kia_EV9_MV1_Aurora_Black_Pearl_%285%29.jpg,1,
Kia,Niro EV,2019,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Kia_Niro_EV_%282023%29_%2852920493406%29.jpg/960px-Kia_Niro_EV_%282023%29_%2852920493406%29.jpg,1,
Kia,Niro,2019,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Kia_Niro_EV_%282023%29_%2852920493406%29.jpg/960px-Kia_Niro_EV_%282023%29_%2852920493406%29.jpg,1,
Kia,Soul EV,2020,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/2019_Kia_Soul_EV_Front.jpg/960px-2019_Kia_Soul_EV_Front.jpg,1,
Chevrolet,Bolt EV,2017,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Chevrolet_Bolt_EV_Black.jpg/960px-Chevrolet_Bolt_EV_Black.jpg,1,
Chevrolet,Bolt EUV,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/2022-2024_Chevrolet_Bolt_EUV_%C3%89nergir.JPG/960px-2022-2024_Chevrolet_Bolt_EUV_%C3%89nergir.JPG,1,
Chevrolet,Equinox EV,2024,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Chevrolet_Equinox_EV_002.jpg/960px-Chevrolet_Equinox_EV_002.jpg,1,
Chevrolet,Blazer EV,2024,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Chevrolet_Blazer_EV_%28LT%2C_Riptide_Blue%29_-_badge_closeup.jpg/960px-Chevrolet_Blazer_EV_%28LT%2C_Riptide_Blue%29_-_badge_closeup.jpg,1,
Chevrolet,Silverado EV,2024,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/2024_Chevrolet_Silverado_EV_Work_Truck%2C_front_8.20.22.jpg/960px-2024_Chevrolet_Silverado_EV_Work_Truck%2C_front_8.20.22.jpg,1,
Nissan,Leaf,2018,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/2018_Nissan_Leaf_Tekna_Front_%281%29.jpg/960px-2018_Nissan_Leaf_Tekna_Front_%281%29.jpg,1,
Nissan,Leaf,2011,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/2017_Nissan_LEAF_%28ZE0_MY17%29_hatchback_%282018-11-02%29_01.jpg/960px-2017_Nissan_LEAF_%28ZE0_MY17%29_hatchback_%282018-11-02%29_01.jpg,1,Gen 1
Nissan,LEAF,2018,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/2018_Nissan_Leaf_Tekna_Front_%281%29.jpg/960px-2018_Nissan_Leaf_Tekna_Front_%281%29.jpg,1,uppercase alias
Nissan,LEAF,2011,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/2017_Nissan_LEAF_%28ZE0_MY17%29_hatchback_%282018-11-02%29_01.jpg/960px-2017_Nissan_LEAF_%28ZE0_MY17%29_hatchback_%282018-11-02%29_01.jpg,1,uppercase alias Gen 1
Nissan,Ariya,2023,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Nissan_Ariya_IAA_2023_1X7A0455.jpg/960px-Nissan_Ariya_IAA_2023_1X7A0455.jpg,1,
Rivian,R1T,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Rivian_R1T_-_2nd_Row_07.png/960px-Rivian_R1T_-_2nd_Row_07.png,1,
Rivian,R1S,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Rivian_R1S_-_3.jpg/960px-Rivian_R1S_-_3.jpg,1,
Volkswagen,ID.4,2021,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/VW_ID4_CRI_03_2023_2386.jpg/960px-VW_ID4_CRI_03_2023_2386.jpg,1,
Volkswagen,ID.3,2020,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/2020_Volkswagen_ID.3_1st_Front.jpg/960px-2020_Volkswagen_ID.3_1st_Front.jpg,1,
Volkswagen,e-Golf,2015,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Volkswagen_e-Golf_IMG_8133.jpg/960px-Volkswagen_e-Golf_IMG_8133.jpg,1,
BMW,i4,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/BMW_i4_CRI_02_2023_1881.jpg/960px-BMW_i4_CRI_02_2023_1881.jpg,1,
BMW,iX,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/2023_BMW_iX_12_2022_CRI_0831.jpg/960px-2023_BMW_iX_12_2022_CRI_0831.jpg,1,
BMW,i5,2024,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/BMW_i5_M60_xDrive_%28G60%2C_2024%29_%2853767149083%29.jpg/960px-BMW_i5_M60_xDrive_%28G60%2C_2024%29_%2853767149083%29.jpg,1,
BMW,i7,2023,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/BMW_G70E_i7_xDrive60_Design_Pure_Excellence_BMW_Individual_Oxide_Grey_Tanzanite_Blue_Metallic_%2830%29.jpg/960px-BMW_G70E_i7_xDrive60_Design_Pure_Excellence_BMW_Individual_Oxide_Grey_Tanzanite_Blue_Metallic_%2830%29.jpg,1,
BMW,i3,2014,2021,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/D%C3%BClmen%2C_Hausd%C3%BClmen%2C_Sandstra%C3%9Fe%2C_BMW_i3_--_2016_--_1748-54.jpg/960px-D%C3%BClmen%2C_Hausd%C3%BClmen%2C_Sandstra%C3%9Fe%2C_BMW_i3_--_2016_--_1748-54.jpg,1,
Audi,e-tron,2019,2023,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/2019_Audi_e-Tron_Front.jpg/960px-2019_Audi_e-Tron_Front.jpg,1,
Audi,Q4 e-tron,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Audi_Q4_e-tron_IAA_2021_IMG_2048.jpg/960px-Audi_Q4_e-tron_IAA_2021_IMG_2048.jpg,1,
Audi,Q8 e-tron,2023,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Audi_Q8_e-tron_55_quattro_IAA_2023_IMG_0432.jpg/960px-Audi_Q8_e-tron_55_quattro_IAA_2023_IMG_0432.jpg,1,
Audi,e-tron GT,2021,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Audi_e-tron_GT_IAA_2021_IMG_2040.jpg/960px-Audi_e-tron_GT_IAA_2021_IMG_2040.jpg,1,
Volvo,C40 Recharge,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Volvo_C40_Recharge_2021_P01_front.jpg/960px-Volvo_C40_Recharge_2021_P01_front.jpg,1,
Volvo,XC40 Recharge,2021,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Volvo_XC40_Recharge_Facelift_IMG_8127.jpg/960px-Volvo_XC40_Recharge_Facelift_IMG_8127.jpg,1,
Porsche,Taycan,2020,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Porsche_Taycan_IAA_2023_1X7A0387.jpg/960px-Porsche_Taycan_IAA_2023_1X7A0387.jpg,1,
Porsche,Macan,2024,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Porsche_Macan_Electric_IAA_2023_1X7A0476.jpg/960px-Porsche_Macan_Electric_IAA_2023_1X7A0476.jpg,1,
Lucid,Air,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Lucid_Air_Dream_edition%2C_IAA_Open_Space_2023%2C_Munich_%28P1120054%29.jpg/960px-Lucid_Air_Dream_edition%2C_IAA_Open_Space_2023%2C_Munich_%28P1120054%29.jpg,1,
Genesis,GV60,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Genesis_GV60_Classic-Gala_2022_1X7A0354.jpg/960px-Genesis_GV60_Classic-Gala_2022_1X7A0354.jpg,1,
Genesis,GV70 Electrified,2023,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Genesis_Electrified_GV70_1X7A6390.jpg/960px-Genesis_Electrified_GV70_1X7A6390.jpg,1,
Genesis,GV70,2021,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Genesis_Electrified_GV70_1X7A6390.jpg/960px-Genesis_Electrified_GV70_1X7A6390.jpg,1,
Genesis,G80 Electrified,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Genesis_Electrified_G80_Auto_Zuerich_2023_1X7A1133.jpg/960px-Genesis_Electrified_G80_Auto_Zuerich_2023_1X7A1133.jpg,1,
Cadillac,LYRIQ,2023,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/2023_Cadillac_Lyriq_Luxury_1%2C_front_right%2C_08-22-2024.jpg/960px-2023_Cadillac_Lyriq_Luxury_1%2C_front_right%2C_08-22-2024.jpg,1,
Cadillac,OPTIQ,2025,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/2023_Cadillac_Lyriq_Luxury_1%2C_front_right%2C_08-22-2024.jpg/960px-2023_Cadillac_Lyriq_Luxury_1%2C_front_right%2C_08-22-2024.jpg,1,
Mercedes-Benz,EQS,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Mercedes-Benz_EQS_450%2B%2C_IAA_Open_Space_2023%2C_Munich_%28P1120197%29.jpg/960px-Mercedes-Benz_EQS_450%2B%2C_IAA_Open_Space_2023%2C_Munich_%28P1120197%29.jpg,1,
Mercedes-Benz,EQE,2023,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Mercedes-Benz_EQE_350%2B_IAA_2021.jpg/960px-Mercedes-Benz_EQE_350%2B_IAA_2021.jpg,1,
Mercedes-Benz,EQB,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Mercedes-Benz_EQB_300_4MATIC_IMG_8002.jpg/960px-Mercedes-Benz_EQB_300_4MATIC_IMG_8002.jpg,1,
Mercedes-Benz,EQA,2021,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Mercedes-Benz_EQA_250_H243_IMG_8110.jpg/960px-Mercedes-Benz_EQA_250_H243_IMG_8110.jpg,1,
Polestar,Polestar 2,2021,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Polestar_2_BST_Edition_230_Auto_Zuerich_2023_1X7A1303.jpg/960px-Polestar_2_BST_Edition_230_Auto_Zuerich_2023_1X7A1303.jpg,1,
MINI,Countryman,2024,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/2024_Mini_Countryman_SE_All4_Electric_%28F66%29%2C_front_8.9.24.jpg/960px-2024_Mini_Countryman_SE_All4_Electric_%28F66%29%2C_front_8.9.24.jpg,1,
MINI,Cooper SE,2020,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/2023_Mini_Electric_Convertible_Cooper_S.jpg/960px-2023_Mini_Electric_Convertible_Cooper_S.jpg,1,
Jaguar,I-Pace,2019,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Jaguar_I-PACE_EV400_IAA_2023_1X7A0302.jpg/960px-Jaguar_I-PACE_EV400_IAA_2023_1X7A0302.jpg,1,
Toyota,bZ4X,2023,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/2023_Toyota_bZ4X_XLE_AWD_in_Supersonic_Red%2C_front_left.jpg/960px-2023_Toyota_bZ4X_XLE_AWD_in_Supersonic_Red%2C_front_left.jpg,1,
Subaru,Solterra,2023,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/2026_Subaru_Solterra_Premium%2C_front_left%2C_03-15-2026.jpg/960px-2026_Subaru_Solterra_Premium%2C_front_left%2C_03-15-2026.jpg,1,
GMC,Hummer EV,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/2024_Chevrolet_Silverado_EV_Work_Truck%2C_front_8.20.22.jpg/960px-2024_Chevrolet_Silverado_EV_Work_Truck%2C_front_8.20.22.jpg,1,
FIAT,500e,2013,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Fiat_500e_in_M%C3%BCnchen.jpg/960px-Fiat_500e_in_M%C3%BCnchen.jpg,1,
Fiat,500e,2013,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Fiat_500e_in_M%C3%BCnchen.jpg/960px-Fiat_500e_in_M%C3%BCnchen.jpg,1,lowercase alias
Chevrolet,Bolt,2017,2021,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Chevrolet_Bolt_EV_Black.jpg/960px-Chevrolet_Bolt_EV_Black.jpg,1,short name alias
Honda,Clarity Electric,2017,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/2018_Honda_Clarity_Electric_in_White%2C_front_8.10.18.jpg/960px-2018_Honda_Clarity_Electric_in_White%2C_front_8.10.18.jpg,1,
Smart,EQ fortwo,2018,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Smart_ForTwo_Coupe_Electric_Drive_C453_-_Frontansicht%2C_25._M%C3%A4rz_2013%2C_D%C3%BCsseldorf.jpg/960px-Smart_ForTwo_Coupe_Electric_Drive_C453_-_Frontansicht%2C_25._M%C3%A4rz_2013%2C_D%C3%BCsseldorf.jpg,1,
Tesla,Model 3,2017,9999,/vehicles/tesla-model-3.webp,10,local
Tesla,Model S,2012,9999,/vehicles/2022-tesla-model-s-plaid.jpg,10,local
Tesla,Model X,2015,9999,/vehicles/tesla-model-x.webp,10,local
Tesla,Model Y,2020,9999,/vehicles/2023-tesla-model-y-long-range.webp,10,local
Kia,EV6,2022,9999,/vehicles/2022-kia-ev6-gt-line.webp,10,local
Hyundai,Ioniq 5,2022,9999,/vehicles/2024-hyundai-ioniq-5-limited.webp,10,local
Hyundai,Kona,2018,9999,/vehicles/hyundai-kona.webp,10,local
Hyundai,Kona Electric,2018,9999,/vehicles/hyundai-kona.webp,10,local
Chevrolet,Bolt EV,2017,9999,/vehicles/2023-chevrolet-bolt-ev-lt.webp,10,local
Chevrolet,Bolt,2017,9999,/vehicles/chevloret-bolt.webp,10,local
Nissan,Leaf,2018,9999,/vehicles/2023-nissan-leaf-sv-plus.webp,10,local
Nissan,LEAF,2018,9999,/vehicles/2023-nissan-leaf-sv-plus.webp,10,local
Nissan,Ariya,2023,9999,/vehicles/2023-Nissan-ARIYA-ENGAGE+.webp,10,local
Volkswagen,ID.4,2021,9999,/vehicles/2023-volkswagen-id.4-ev-pro-s.webp,10,local
Volvo,C40 Recharge,2022,9999,/vehicles/2022-volvo-c40-recharge-elctric-ultimate.webp,10,local
Volvo,XC40 Recharge,2021,9999,/vehicles/2022-volvo-c40-recharge-elctric-ultimate.webp,10,local
Ford,Focus Electric,2013,2018,/vehicles/2013-ford-focus-electric-hatchback.jpg,10,local
Ford,F-150 Lightning,2022,9999,/vehicles/ford-f150-lightning-2.webp,10,local
Audi,e-tron,2019,9999,/vehicles/audi-a6-sportback-e-tron-a6-e-tron.jpg,10,local
GMC,Hummer EV,2022,9999,/vehicles/2024-gmc-hummer-ev.webp,10,local
Chevrolet,Blazer,2024,9999,/vehicles/2026-chevloret-blazer-ev-lt-rwd.jpg,10,local
Mercedes-Benz,EQE,2022,9999,/vehicles/2023-mercedes-benz-eqe-amg-4matic.jpg,10,local
